trial_indices,leftP,rightP,choices,rewarded
0,0.8,0.8,0,1
1,0.8,0.8,0,0
2,0.8,0.8,-1,-1
3,0.8,0.8,0,1
4,0.8,0.8,0,1
5,0.8,0.8,0,1
6,0.8,0.8,0,0
7,0.8,0.8,0,1
8,0.8,0.8,0,1
9,0.8,0.8,-1,-1
10,0.8,0.8,-1,-1
11,0.8,0.8,-1,-1
12,0.8,0.8,-1,-1
13,0.8,0.8,1,1
14,0.8,0.8,0,1
15,0.8,0.8,0,1
16,0.8,0.8,0,1
17,0.8,0.8,-1,-1
18,0.8,0.8,-1,-1
19,0.8,0.8,0,1
20,0.8,0.8,-1,-1
21,0.8,0.8,-1,-1
22,0.8,0.8,0,1
23,0.8,0.8,-1,-1
24,0.8,0.8,0,1
25,0.8,0.8,0,1
26,0.8,0.8,1,1
27,0.8,0.8,0,1
28,0.8,0.8,0,1
29,0.8,0.8,0,0
30,0.8,0.8,0,0
31,0.8,0.8,0,1
32,0.8,0.8,0,1
33,0.8,0.8,1,1
34,0.8,0.8,-1,-1
35,0.8,0.8,0,1
36,0.8,0.8,0,1
37,0.8,0.8,0,1
38,0.8,0.8,-1,-1
39,0.8,0.8,-1,-1
40,0.8,0.8,0,1
41,0.8,0.8,-1,-1
42,0.8,0.8,0,1
43,0.8,0.8,0,1
44,0.8,0.8,0,0
45,0.8,0.8,-1,-1
46,0.8,0.8,-1,-1
47,0.8,0.8,-1,-1
48,0.8,0.8,0,0
49,0.8,0.8,-1,-1
50,0.8,0.8,0,1
51,0.8,0.8,-1,-1
52,0.8,0.8,0,1
53,0.8,0.8,1,1
54,0.8,0.8,1,1
55,0.8,0.8,-1,-1
56,0.8,0.8,0,1
57,0.8,0.8,0,1
58,0.8,0.8,1,1
59,0.8,0.8,-1,-1
60,0.8,0.8,-1,-1
61,0.8,0.8,-1,-1
62,0.8,0.8,0,0
63,0.8,0.8,1,0
64,0.8,0.8,0,1
65,0.8,0.8,0,1
66,0.8,0.8,-1,-1
67,0.8,0.8,0,0
68,0.8,0.8,1,1
69,0.8,0.8,1,1
70,0.8,0.8,-1,-1
71,0.8,0.8,1,0
72,0.8,0.8,-1,-1
73,0.8,0.8,-1,-1
74,0.8,0.8,0,1
75,0.8,0.8,0,1
76,0.8,0.8,0,1
77,0.8,0.8,-1,-1
78,0.8,0.8,1,1
79,0.8,0.8,-1,-1
80,0.8,0.8,-1,-1
81,0.8,0.8,0,1
82,0.8,0.8,1,1
83,0.8,0.8,0,1
84,0.8,0.8,-1,-1
85,0.8,0.8,0,0
86,0.8,0.8,-1,-1
87,0.8,0.8,0,1
88,0.8,0.8,-1,-1
89,0.8,0.8,0,1
90,0.8,0.8,0,1
91,0.8,0.8,-1,-1
92,0.8,0.8,0,1
93,0.8,0.8,0,1
94,0.8,0.8,0,0
95,0.8,0.8,-1,-1
96,0.8,0.8,1,1
97,0.8,0.8,-1,-1
98,0.8,0.8,-1,-1
99,0.8,0.8,1,1
100,0.8,0.8,-1,-1
101,0.8,0.8,-1,-1
102,0.8,0.8,0,1
103,0.8,0.8,0,0
104,0.8,0.8,-1,-1
105,0.8,0.8,-1,-1
106,0.8,0.8,0,1
107,0.8,0.8,1,1
108,0.8,0.8,0,1
109,0.8,0.8,0,1
110,0.8,0.8,0,1
111,0.8,0.8,-1,-1
112,0.8,0.8,0,0
113,0.8,0.8,-1,-1
114,0.8,0.8,0,1
115,0.8,0.8,0,1
116,0.8,0.8,0,1
117,0.8,0.8,-1,-1
118,0.8,0.8,0,1
119,0.8,0.8,0,1
120,0.8,0.8,-1,-1
121,0.8,0.8,-1,-1
122,0.8,0.8,-1,-1
123,0.8,0.8,0,1
124,0.8,0.8,-1,-1
125,0.8,0.8,-1,-1
126,0.8,0.8,-1,-1
127,0.8,0.8,-1,-1
128,0.8,0.8,0,1
129,0.8,0.8,-1,-1
130,0.8,0.8,0,1
131,0.8,0.8,0,0
132,0.8,0.8,-1,-1
